Age	Temperature	K_Pg
39	-0.88319	0
39.107	-0.88218	0
39.275	-0.87884	0
39.414	-0.87447	0
39.539	-0.86953	0
39.665	-0.86377	0
39.77	-0.85851	0
39.8935	-0.85194	0
40	-0.84609	0
40.1	-0.84053	0
40.245	-0.83256	0
40.36	-0.82649	0
40.492	-0.81999	0
40.624	-0.81422	0
40.7314	-0.8102	0
40.8325	-0.80709	0
40.98	-0.80392	0
41.1023	-0.80271	0
41.2294	-0.80286	0
41.3813	-0.8046	0
41.485	-0.80657	0
41.6	-0.80932	0
41.7528	-0.81362	0
41.865	-0.81702	0
41.9743	-0.82036	0
42.0746	-0.82332	0
42.1905	-0.82646	0
42.317	-0.82934	0
42.4171	-0.83107	0
42.5278	-0.83227	0
42.6303	-0.83258	0
42.758	-0.83171	0
42.9178	-0.82828	0
43.0275	-0.82422	0
43.1377	-0.81862	0
43.261	-0.81075	0
43.3675	-0.80281	0
43.5	-0.79179	0
43.6	-0.78284	0
43.7	-0.77354	0
43.809	-0.7632	0
43.988	-0.7463	0
44.2	-0.72756	0
44.326	-0.71769	0
44.5	-0.706	0
44.6	-0.70024	0
44.7	-0.69511	0
44.8044	-0.69037	0
45	-0.68302	0
45.135	-0.67894	0
45.2614	-0.67574	0
45.4	-0.67279	0
45.5	-0.67096	0
45.6	-0.66932	0
45.71	-0.66769	0
45.9	-0.66509	0
46	-0.66375	0
46.1	-0.66234	0
46.2	-0.66085	0
46.3386	-0.65852	0
46.4645	-0.65604	0
46.6	-0.65291	0
46.7	-0.6503	0
46.8196	-0.64685	0
47	-0.64104	0
47.1	-0.63753	0
47.2262	-0.63283	0
47.372	-0.62706	0
47.4957	-0.62191	0
47.6	-0.61741	0
47.7	-0.61297	0
47.8065	-0.60812	0
47.9217	-0.60277	0
48.0431	-0.59701	0
48.2	-0.58945	0
48.4	-0.57967	0
48.5	-0.57477	0
48.6232	-0.56872	0
48.7379	-0.56313	0
48.8593	-0.55726	0
49	-0.55055	0
49.1	-0.54587	0
49.3	-0.53678	0
49.4	-0.5324	0
49.603	-0.52393	0
49.7859	-0.51684	0
49.9142	-0.51223	0
50.1063	-0.50593	0
50.2363	-0.50215	0
50.34	-0.49943	0
50.4962	-0.49586	0
50.6	-0.49386	0
50.7	-0.49224	0
50.8475	-0.49042	0
51	-0.48928	0
51.2	-0.48905	0
51.3466	-0.48984	0
51.5	-0.49158	0
51.6133	-0.4935	0
51.7319	-0.49611	0
51.9092	-0.50121	0
52.049	-0.50629	0
52.175	-0.51169	0
52.3683	-0.5215	0
52.5125	-0.52981	0
52.6632	-0.53918	0
52.7801	-0.54681	0
52.9095	-0.55549	0
53.0109	-0.56237	0
53.1202	-0.56981	0
53.2403	-0.5779	0
53.3925	-0.58788	0
53.5668	-0.59867	0
53.6677	-0.60448	0
