species,age_min,age_max,Rotated latitude
Coluber constrictor,0.0117,0.129,29.40
Crotalus adamanteus,0.0117,0.129,29.40
Diadophis punctatus,0.0117,0.129,29.40
Heterodon platyrhinos,0.0117,0.129,29.40
Heterodon simus,0.0117,0.129,29.40
Pituophis melanoleucus,0.0117,0.129,29.40
Thamnophis sirtalis,0.0117,0.129,29.40
Crotalus adamanteus,0.129,0.774,29.41
Drymarchon corais,0.129,0.774,29.41
Lampropeltis getula,0.129,0.774,29.41
Pterosphenus schucherti,39.7,46.2,29.55
Pterosphenus schucherti,39.7,46.2,29.55
Nerodia floridana,0.0117,0.129,29.57
Carphophis amoenus,0.0117,0.129,29.60
Crotalus adamanteus,0.0117,0.129,29.60
Pantherophis guttatus,0.0117,0.129,29.60
Calamagras platyspondyla,29.5,31.8,29.64
Conantophis alachuaensis,29.5,31.8,29.64
Floridaophis auffenbergi,29.5,31.8,29.64
Geringophis robustus,29.5,31.8,29.64
Totlandophis americanus,29.5,31.8,29.64
Crotalus viridis,0.0117,0.129,29.67
Coluber constrictor,0.0117,0.129,29.68
Drymarchon corais,0.0117,0.129,29.68
Pantherophis guttatus,0.0117,0.129,29.68
Coluber constrictor,0.0117,0.129,29.69
Drymarchon corais,0.0117,0.129,29.69
Lampropeltis getula,0.0117,0.129,29.69
Nerodia sipedon,0.0117,0.129,29.69
Pantherophis guttatus,0.0117,0.129,29.69
Thamnophis sirtalis,0.0117,0.129,29.69
Pterosphenus schucherti,33.9,37.71,29.77
Acrochordus dehmi,5.333,11.63,29.80
Lampropeltis getula,9.4,12.5,29.80
Diadophis elinorae,4.7,12.5,30.00
Heterodon brevis,4.7,12.5,30.00
Lampropeltis vetustum,4.7,12.5,30.00
Anilioides minuatus,16.3,18.5,30.04
Boa constrictor,16.3,18.5,30.04
Boa constrictor,16.3,18.5,30.04
Calamagras floridanus,16.3,18.5,30.04
Ogmophis pauperrimus,16.3,18.5,30.04
Paraoxybelis floridanus,16.3,18.5,30.04
Pseudocemophora antiqua,16.3,18.5,30.04
Arizona elegans,0.0117,0.129,30.25
Heterodon nasicus,0.0117,0.129,30.25
Heterodon platyrhinos,0.0117,0.129,30.25
Lampropeltis getula,0.0117,0.129,30.25
Lampropeltis triangulum,0.0117,0.129,30.25
Pantherophis guttatus,0.0117,0.129,30.25
Pantherophis obsoletus,0.0117,0.129,30.25
Pituophis melanoleucus,0.0117,0.129,30.25
Crotalus atrox,0.21,1.4,30.34
Crotalus horridus,0.21,1.4,30.34
Lampropeltis getula,0.21,1.4,30.34
Lampropeltis triangulum,0.21,1.4,30.34
Nerodia fasciata,0.21,1.4,30.34
Pantherophis guttatus,0.21,1.4,30.34
Boavus occidentalis,12.5,16.3,30.99
Dakotaophis greeni,12.5,16.3,30.99
Neonatrix elongata,12.5,16.3,30.99
Neonatrix infera,12.5,16.3,30.99
Ogmophis miocompactus,12.5,16.3,30.99
Salvadora paleolineata,12.5,16.3,30.99
Texasophis fossilis,12.5,16.3,30.99
Calamagras weigeli,12.5,16.3,31.19
Neonatrix elongata,12.5,16.3,31.19
Pantherophis kansensis,12.5,16.3,31.19
Neonatrix elongata,12.5,16.3,31.28
Pantherophis kansensis,12.5,16.3,31.28
Salvadora paleolineata,12.5,16.3,31.28
Texasophis fossilis,12.5,16.3,31.28
Anilioides nebraskensis,20.44,23.03,31.59
Coluber constrictor,0.0117,0.129,31.98
Nerodia fasciata,0.0117,0.129,31.98
Thamnophis sirtalis,0.0117,0.129,31.98
Naja antiqua,11.63,15.98,32.11
Python maurus,11.63,15.98,32.11
Vipera maghrebiana,11.63,15.98,32.11
Crotalus atrox,0.0117,0.129,32.36
Crotalus atrox,0.0117,0.129,32.36
Palaeophis virginianus,41.2,47.8,32.38
Tallahattaophis dunni,41.2,47.8,32.38
Pterosphenus schucherti,33.9,37.71,32.41
Arizona elegans,0.000,0.129,32.54
Crotalus atrox,0.000,0.129,32.54
Lampropeltis getula,0.000,0.129,32.54
Pituophis melanoleucus,0.000,0.129,32.54
Pterosphenus schucherti,33.9,37.71,32.54
Rhabdophis tigrinus,3.6,5.333,32.64
Pterosphenus schucherti,33.9,37.71,32.66
Pterosphenus schucherti,33.9,37.71,32.67
Coluber constrictor,0.0117,0.129,32.71
Huberophis georgiensis,33.9,37.71,32.88
Ogmophis voorhiesi,33.9,37.71,32.88
Pterosphenus schucherti,33.9,37.71,32.88
Pterosphenus schucherti,33.9,37.71,32.88
Pterosphenus schucherti,33.9,37.71,32.89
Palaeophis africanus,33.9,37.71,33.07
Pterosphenus schucherti,33.9,37.71,33.07
Pterosphenus schucherti,33.9,37.71,33.07
Pterosphenus schucherti,37.71,41.2,33.19
Pterosphenus schucherti,33.9,37.71,33.19
Pterosphenus schucherti,33.9,37.71,33.22
Pterosphenus schucherti,37.71,41.2,33.32
Herensugea caristiorum,72.1,83.6,33.36
Menarana laurasiae,72.1,83.6,33.36
Menarana laurasiae,72.1,83.6,33.36
Menarana laurasiae,72.1,83.6,33.36
Palaeophis casei,33.9,56,33.72
Crotalus atrox,0.21,1.4,33.74
Crotalus viridis,0.129,0.774,33.74
Lampropeltis getula,0.21,1.4,33.74
Lampropeltis getula,0.129,0.774,33.74
Nerodia erythrogaster,0.21,1.4,33.74
Pituophis melanoleucus,0.129,0.774,33.74
Boavus occidentalis,37,39.7,33.76
Portugalophis lignites,149.2,154.8,34.02
Portugalophis lignites,149.2,154.8,34.02
Naja antiqua,8.7,11.63,34.03
Thamnophis sirtalis,0.21,1.4,34.04
