species,age_min,age_max,Rotated latitude
Crotalus horridus,0.000,2.58,38.72
Heterodon platyrhinos,0.000,2.58,38.72
Lampropeltis triangulum,0.000,2.58,38.72
Nerodia sipedon,0.000,2.58,38.72
Pantherophis vulpinus,0.000,2.58,38.72
Sistrurus catenatus,0.000,2.58,38.72
Sistrurus catenatus,0.21,1.4,38.74
Nerodia sipedon,0.21,1.4,38.74
Pituophis melanoleucus,0.21,1.4,38.74
Thamnophis sirtalis,0.21,1.4,38.74
Palaeophis grandis,47.8,56,38.85
Palaeophis casei,50.5,54.9,38.87
Palaeophis toliapicus,50.5,54.9,38.87
Palaeophis virginianus,50.5,54.9,38.87
Palaeophis virginianus,47.8,59.2,38.94
Malpolon monspessulanus,2.58,3.6,39.04
Natrix maura,2.58,3.6,39.04
Nerodia sipedon,0.014,1.4,39.04
Vipera berus,2.58,3.6,39.04
Ameiseophis robinsoni,15.98,20.44,39.39
Pollackophis depressus,15.98,20.44,39.39
Pterygoboa delawarensis,15.98,20.44,39.39
Lampropeltis similis,9.4,12.5,39.53
Nerodia hillmani,9.4,12.5,39.53
Ogmophis pliocompactus,9.4,12.5,39.53
Texasophis wilsoni,9.4,12.5,39.53
Tregophis brevirachis,9.4,12.5,39.53
Carphophis amoenus,0.21,1.4,39.62
Coluber constrictor,0.21,1.4,39.62
Crotalus horridus,0.21,1.4,39.62
Diadophis punctatus,0.21,1.4,39.62
Heterodon platyrhinos,0.21,1.4,39.62
Lampropeltis triangulum,0.21,1.4,39.62
Nerodia sipedon,0.21,1.4,39.62
Pantherophis vulpinus,0.21,1.4,39.62
Vipera natiensis,3.6,5.333,39.66
Vialovophis zhylan,56,59.2,39.72
Coluber constrictor,0.21,1.4,39.82
Crotalus horridus,0.21,1.4,39.82
Heterodon platyrhinos,0.21,1.4,39.82
Lampropeltis triangulum,0.21,1.4,39.82
Nerodia sipedon,0.21,1.4,39.82
Pantherophis vulpinus,0.21,1.4,39.82
Coluber constrictor,0.21,1.4,39.84
Heterodon nasicus,0.21,1.4,39.84
Nerodia sipedon,0.21,1.4,39.84
Thamnophis sirtalis,0.21,1.4,39.84
Palaeophis grandis,41.2,47.8,39.98
Krebsophis thobanus,66,83.6,4.15
Nubianophis afaahus,66,83.6,4.15
Nubianophis afaahus,66,83.6,4.15
Nessovophis zhylga,47.8,56,40.06
Rhabdophis tigrinus,0.000,2.58,40.06
Rhabdophis tigrinus,0.000,2.58,40.06
Pantherophis kansensis,4.7,9.4,40.10
Cheilophis huerfanoensis,56,59.2,40.12
Pterosphenus schucherti,56,59.2,40.12
Vipera natiensis,2.58,5.333,40.15
Oxybelis acuminatus,0.21,1.4,40.22
Coronella girondica,0.129,0.774,40.29
Coronella girondica,0.000,2.58,40.36
Natrix natrix,0.000,2.58,40.36
Naja romani,8.7,11.63,40.38
Laophis crotaloides,3.1,5.333,40.48
Eoanilius oligocenicus,22.4,23.03,40.54
Geringophis depressus,12.5,16.3,40.57
Nebraskophis skinneri,12.5,16.3,40.57
Neonatrix elongata,12.5,16.3,40.57
Paleoheterodon tiheni,12.5,16.3,40.57
Paleoheterodon tiheni,12.5,16.3,40.57
Pantherophis kansensis,12.5,16.3,40.57
Pterygoboa miocenica,12.5,16.3,40.57
Salvadora paleolineata,12.5,16.3,40.57
Paleoheterodon tiheni,12.5,16.3,40.60
Pterygoboa miocenica,12.5,16.3,40.60
Salvadora paleolineata,12.5,16.3,40.60
Coluber constrictor,1.4,9.4,40.61
Eoanilius oligocenicus,15.98,23.03,40.61
Nerodia erythrogaster,1.4,9.4,40.61
Paleoheterodon tiheni,1.4,9.4,40.61
Coronella girondica,0.0117,0.129,40.76
Coluber constrictor,12.5,16.3,40.78
Crotalus viridis,0.0117,0.129,40.78
Calamagras turkestanicus,47.8,56,40.85
Charina bottae,0.014,0.21,40.85
Charina bottae,0.0117,0.129,40.85
Palaeophis ferganicus,47.8,56,40.85
Paraxenophis spanios,5.333,8.7,40.89
Periergophis micros,5.333,8.7,40.89
Vipera latastei,0.000,0.0117,40.93
Palaeophis oweni,37.71,41.2,40.97
Sanjuanophis froehlichorum,50.5,54.9,41.00
Calamagras primus,50.5,54.9,41.04
Cheilophis huerfanoensis,50.5,54.9,41.04
Sanjuanophis froehlichorum,50.5,54.9,41.04
Palaeophis tamdy,37.71,41.2,41.11
Cheilophis huerfanoensis,46.2,50.5,41.13
Natrix maura,0.0117,0.129,41.28
Coronella girondica,2.58,3.2,41.37
Eophis underwoodi,165.3,168.2,41.37
Malpolon monspessulanus,2.58,3.2,41.37
Natrix maura,2.58,3.2,41.37
Natrix natrix,2.58,3.2,41.37
Zamenis scalaris,2.58,3.2,41.37
Natrix natrix,0.000,0.0117,41.38
Natrix natrix,0.000,0.0117,41.38
Hierophis viridiflavus,0.774,2.58,41.39
Lampropeltis triangulum,1.4,4.7,41.52
Nerodia sipedon,1.4,4.7,41.52
Pantherophis vulpinus,1.4,4.7,41.52
Thamnophis sirtalis,1.4,4.7,41.52
Arizona voorhiesi,4.7,9.4,41.62
Charina prebottae,4.7,9.4,41.62
Crotalus horridus,4.7,9.4,41.62
Heterodon platyrhinos,4.7,9.4,41.62
Lampropeltis getula,4.7,9.4,41.62
Lampropeltis triangulum,4.7,9.4,41.62
Nebraskophis skinneri,4.7,9.4,41.62
Neonatrix elongata,4.7,9.4,41.62
Paleoheterodon tiheni,4.7,9.4,41.62
Pantherophis kansensis,4.7,9.4,41.62
Paracoluber storeri,4.7,9.4,41.62
Salvadora paleolineata,4.7,9.4,41.62
Charina prebottae,16.3,18.5,41.63
Texasophis fossilis,16.3,18.5,41.63
Calamagras angulatus,31.8,33.9,41.88
Calamagras murivorus,31.8,33.9,41.88
Calamagras talpivorus,31.8,33.9,41.88
Neurodromicus dorsalis,31.8,33.9,41.88
Cadurceryx filholi,37.71,41.2,42.06
Dunnophis cadurcensis,37.71,41.2,42.06
Palaeopython cadurcensis,37.71,41.2,42.06
Palaeopython cadurcensis,37.71,41.2,42.06
Platyspondylia sudrei,37.71,41.2,42.06
Geringophis vetus,31.8,33.9,42.08
Texasophis galbreathi,31.8,33.9,42.09
Dakotaophis greeni,12.5,16.3,42.12
Dakotaophis greeni,12.5,16.3,42.12
Lampropeltis similis,12.5,16.3,42.12
Paleoheterodon tiheni,12.5,16.3,42.12
Pantherophis kansensis,12.5,16.3,42.12
Pantherophis kansensis,12.5,16.3,42.12
Pantherophis kansensis,12.5,16.3,42.12
Salvadora paleolineata,12.5,16.3,42.12
Salvadora paleolineata,12.5,16.3,42.12
Palaeopython cadurcensis,37.71,41.2,42.21
Palaeopython cadurcensis,37.71,41.2,42.21
Coronella girondica,0.129,0.774,42.29
Natrix maura,0.129,0.774,42.29
Natrix maura,0.129,0.774,42.29
Natrix natrix,0.129,0.774,42.29
Coronella austriaca,0.129,0.774,42.33
Coronella girondica,0.129,0.774,42.33
Natrix maura,0.129,0.774,42.33
Vipera aspis,0.129,0.774,42.33
Vipera latastei,0.129,0.774,42.33
Zamenis scalaris,0.129,0.774,42.33
Coronella austriaca,0.129,0.774,42.35
Coronella austriaca,0.129,0.774,42.35
Natrix maura,0.129,0.774,42.35
Natrix natrix,0.129,0.774,42.35
Vipera aspis,0.129,0.774,42.35
Zamenis scalaris,0.129,0.774,42.35
Zamenis scalaris,0.129,0.774,42.35
Coronella austriaca,0.774,1.8,42.37
Coronella austriaca,0.000,2.58,42.37
Natrix natrix,0.774,1.8,42.37
Natrix natrix,0.000,2.58,42.37
Vipera aspis,0.774,1.8,42.37
Vipera aspis,0.000,2.58,42.37
Zamenis scalaris,0.774,1.8,42.37
Zamenis scalaris,0.000,2.58,42.37
Coluber constrictor,1.4,4.7,42.49
Crotalus horridus,1.4,4.7,42.49
Heterodon nasicus,1.4,4.7,42.49
Heterodon platyrhinos,1.4,4.7,42.49
Lampropeltis calligaster,1.4,4.7,42.49
Lampropeltis getula,1.4,4.7,42.49
Lampropeltis triangulum,1.4,4.7,42.49
Sistrurus catenatus,1.4,4.7,42.49
Pantherophis guttatus,1.4,4.7,42.49
Pantherophis vulpinus,1.4,4.7,42.49
Thamnophis sirtalis,1.4,4.7,42.49
Anilioides nebraskensis,24.7,29.5,42.54
Anilioides nebraskensis,24.7,29.5,42.54
Calamagras platyspondyla,24.7,29.5,42.54
Calamagras platyspondyla,24.7,29.5,42.54
Goinophis minusculus,24.7,29.5,42.54
Natrix natrix,0.0117,0.129,42.55
Anilioides nebraskensis,23.1,24.7,42.61
Calamagras angulatus,23.1,24.7,42.61
Calamagras angulatus,23.1,24.7,42.61
Calamagras angulatus,23.1,24.7,42.61
Calamagras platyspondyla,23.1,24.7,42.61
Geringophis depressus,23.1,24.7,42.61
Hierophis viridiflavus,0.129,0.774,42.66
Natrix natrix,0.000,0.0117,42.66
Heterodon platyrhinos,4.7,9.4,42.69
Lampropeltis triangulum,4.7,9.4,42.69
Paleoheterodon tiheni,4.7,9.4,42.69
Pantherophis guttatus,4.7,9.4,42.69
Pituophis melanoleucus,4.7,9.4,42.69
Crotalus horridus,1.4,4.7,42.72
Nerodia rhombifer,1.4,4.7,42.72
Pantherophis guttatus,1.4,4.7,42.72
Thamnophis sirtalis,1.4,4.7,42.72
Ameiseophis robinsoni,9.4,12.5,42.73
Paleoheterodon tiheni,9.4,12.5,42.73
Salvadora paleolineata,9.4,12.5,42.73
Dunnophis cadurcensis,41.2,47.8,42.75
Dunnophis matronensis,41.2,47.8,42.75
Szyndlaria aureomontensis,41.2,47.8,42.75
Eoanilius oligocenicus,15.98,20.44,42.82
Heterodon platyrhinos,1.4,4.7,42.82
Cadurceryx filholi,33.9,37.71,42.85
Cadurcoboa insolita,33.9,37.71,42.85
Dunnophis cadurcensis,33.9,37.71,42.85
Dunnophis cadurcensis,33.9,37.71,42.85
Eoanilius europae,33.9,37.71,42.85
Palaeopython cadurcensis,33.9,37.71,42.85
Palaeopython cadurcensis,33.9,37.71,42.85
Phosphoroboa filholi,33.9,37.71,42.85
Cadurceryx filholi,33.9,37.71,42.86
Cadurceryx filholi,33.9,37.71,42.86
Cadurcoboa insolita,33.9,37.71,42.86
Dunnophis cadurcensis,33.9,37.71,42.86
Eoanilius europae,33.9,37.71,42.86
Eoanilius europae,33.9,37.71,42.86
Palaeopython cadurcensis,33.9,37.71,42.86
Palaeopython cadurcensis,33.9,37.71,42.86
Cadurceryx filholi,33.9,37.71,42.87
Dunnophis cadurcensis,33.9,37.71,42.87
Eoanilius europae,33.9,37.71,42.87
Palaeopython cadurcensis,33.9,37.71,42.87
Phosphoroboa filholi,33.9,37.71,42.88
Pantherophis pliocenica,1.4,4.7,42.90
Pantherophis vulpinus,1.4,4.7,42.90
Palaeophis nessovi,37.71,47.8,42.92
Paleoheterodon tiheni,12.5,16.3,43.03
Helagras prisciformis,60.9,63.8,43.04
Malpolon monspessulanus,0.0117,0.129,43.05
Coronella austriaca,0.0117,0.129,43.07
Cadurcoboa insolita,33.9,37.71,43.08
Dunnophis cadurcensis,33.9,37.71,43.08
Ameiseophis robinsoni,9.4,12.5,43.09
Lampropeltis getula,9.4,12.5,43.09
Lampropeltis triangulum,9.4,12.5,43.09
Micronatrix juliescottae,9.4,12.5,43.09
Neonatrix infera,9.4,12.5,43.09
Nerodia hillmani,9.4,12.5,43.09
Pantherophis kansensis,9.4,12.5,43.09
Paracoluber storeri,9.4,12.5,43.09
Tregophis brevirachis,9.4,12.5,43.09
Charina prebottae,16.3,18.5,43.10
Dakotaophis greeni,16.3,18.5,43.10
Lampropeltis getula,4.7,9.4,43.10
Pantherophis obsoletus,4.7,9.4,43.10
Pituophis melanoleucus,4.7,9.4,43.10
Salvadora paleolineata,16.3,18.5,43.10
Helagras prisciformis,63.8,66,43.11
Lampropeltis getula,4.7,9.4,43.11
Lampropeltis triangulum,4.7,9.4,43.11
Pantherophis guttatus,4.7,9.4,43.11
Pantherophis obsoletus,4.7,9.4,43.11
Pituophis melanoleucus,4.7,9.4,43.11
Geringophis depressus,12.5,16.3,43.13
Lampropeltis similis,12.5,16.3,43.13
Paleoheterodon tiheni,12.5,16.3,43.13
Pantherophis kansensis,12.5,16.3,43.13
Salvadora paleolineata,12.5,16.3,43.13
Zamenis longissimus,0.0117,0.129,43.19
Hierophis viridiflavus,0.000,2.58,43.23
Calamagras platyspondyla,18.5,23.1,43.25
Ogmophis miocompactus,18.5,23.1,43.25
Geringophis yatkolae,15.98,23.03,43.26
Ogmophis miocompactus,15.98,23.03,43.26
Coronella austriaca,0.129,0.774,43.27
Hierophis viridiflavus,0.129,0.774,43.27
Natrix natrix,0.129,0.774,43.27
Palaeophis nessovi,37.71,47.8,43.27
Palaeophis tamdy,37.71,47.8,43.27
Zamenis longissimus,0.129,0.774,43.27
Palaeophis nessovi,37.71,41.2,43.34
Ameiseophis robinsoni,12.5,16.3,43.35
Bransateryx vireti,23.03,27.82,43.35
Charina prebottae,12.5,16.3,43.35
Geringophis depressus,12.5,16.3,43.35
Lampropeltis similis,12.5,16.3,43.35
Nebraskophis skinneri,12.5,16.3,43.35
Neonatrix elongata,12.5,16.3,43.35
Neonatrix magna,12.5,16.3,43.35
Paleoheterodon tiheni,12.5,16.3,43.35
Pantherophis kansensis,12.5,16.3,43.35
Platyspondylia lepta,23.03,27.82,43.35
Salvadora paleolineata,12.5,16.3,43.35
Palaeophis nessovi,37.71,41.2,43.36
Ameiseophis robinsoni,12.5,16.3,43.37
Charina prebottae,12.5,16.3,43.37
Lampropeltis similis,12.5,16.3,43.37
Nebraskophis skinneri,12.5,16.3,43.37
Neonatrix elongata,12.5,16.3,43.37
Neonatrix magna,12.5,16.3,43.37
Paleoheterodon tiheni,12.5,16.3,43.37
Pantherophis kansensis,12.5,16.3,43.37
Salvadora paleolineata,12.5,16.3,43.37
Neonatrix elongata,12.5,16.3,43.38
Salvadora paleolineata,12.5,16.3,43.38
Palaeophis nessovi,37.71,41.2,43.42
Malpolon monspessulanus,2.58,5.333,43.44
Michauxophis occitanus,2.58,3.6,43.51
Zamenis longissimus,2.58,3.6,43.51
Coronella austriaca,0.0117,0.129,43.54
Vipera berus,0.0117,0.129,43.54
Anilioides nebraskensis,18.5,23.1,43.57
Calamagras angulatus,18.5,23.1,43.57
Calamagras murivorus,31.8,33.9,43.57
Calamagras platyspondyla,18.5,23.1,43.57
Cheilophis huerfanoensis,31.8,33.9,43.57
Geringophis depressus,18.5,23.1,43.57
Ogmophis compactus,31.8,33.9,43.57
Ogmophis miocompactus,18.5,23.1,43.57
Coluber cadurci,27.82,33.9,43.58
Coluber cadurci,27.82,33.9,43.58
Coluber cadurci,27.82,33.9,43.60
Coluber cadurci,27.82,33.9,43.60
Coluber cadurci,27.82,33.9,43.60
Coluber cadurci,27.82,33.9,43.60
Eoanilius oligocenicus,27.82,33.9,43.60
Eoanilius oligocenicus,27.82,33.9,43.60
Eoanilius oligocenicus,27.82,33.9,43.60
Eoanilius oligocenicus,27.82,33.9,43.60
Ameiseophis robinsoni,11.63,15.98,43.63
Ameiseophis robinsoni,11.63,15.98,43.63
Calamagras weigeli,11.63,15.98,43.63
Charina prebottae,11.63,15.98,43.63
Charina prebottae,11.63,15.98,43.63
Pseudocemophora antiqua,11.63,15.98,43.63
Ameiseophis robinsoni,12.5,16.3,43.64
Charina prebottae,12.5,16.3,43.64
Dakotaophis greeni,12.5,16.3,43.64
Neonatrix elongata,12.5,16.3,43.64
Ogmophis miocompactus,12.5,16.3,43.64
Paleoheterodon tiheni,12.5,16.3,43.64
Salvadora paleolineata,12.5,16.3,43.64
Albaneryx depereti,11.63,15.98,43.67
Coluber pouchetii,11.63,15.98,43.67
Coluber pouchetii,11.63,15.98,43.67
Micrurus gallicus,11.63,15.98,43.67
Natrix longivertebrata,11.63,15.98,43.67
Natrix longivertebrata,11.63,15.98,43.67
Natrix sansaniensis,11.63,15.98,43.67
Neonatrix europaea,11.63,15.98,43.67
Palaeonatrix lehmani,11.63,15.98,43.67
Palaeonatrix lehmani,11.63,15.98,43.67
Paleoheterodon arcuatus,11.63,15.98,43.67
Texasophis meini,11.63,15.98,43.67
Malpolon monspessulanus,0.129,0.774,43.69
Natrix maura,0.129,0.774,43.69
Zamenis longissimus,0.129,0.774,43.69
Zamenis scalaris,0.129,0.774,43.69
Coronella austriaca,0.129,0.774,43.70
Coronella girondica,0.129,0.774,43.70
Malpolon monspessulanus,0.129,0.774,43.70
Vipera aspis,0.129,0.774,43.70
Zamenis longissimus,0.129,0.774,43.70
Zamenis scalaris,0.129,0.774,43.70
Malpolon monspessulanus,0.000,2.58,43.71
Bransateryx vireti,23.03,33.9,43.74
Coluber cadurci,27.82,33.9,43.74
Coluber cadurci,23.03,33.9,43.74
Coluber cadurci,27.82,33.9,43.74
Coluber cadurci,27.82,33.9,43.74
Natrix mlynarskii,27.82,33.9,43.74
Natrix mlynarskii,15.98,37.71,43.84
Palaeopython cadurcensis,15.98,37.71,43.84
Palaeopython cadurcensis,15.98,37.71,43.84
Palaeopython neglectus,15.98,37.71,43.84
Phosphoroboa filholi,15.98,37.71,43.84
Plesiotortrix edwardsi,15.98,37.71,43.84
Bransateryx vireti,23.03,27.82,43.86
Coluber cadurci,23.03,27.82,43.86
Coluber cadurci,23.03,27.82,43.86
Lampropeltis similis,9.4,12.5,43.86
Bavarioboa crocheti,23.03,27.82,43.88
Bavarioboa vaylatsae,23.03,27.82,43.88
Platyspondylia lepta,23.03,27.82,43.88
Calamagras weigeli,16.3,18.5,43.90
Charina prebottae,16.3,18.5,43.90
Dakotaophis greeni,16.3,18.5,43.90
Neonatrix elongata,16.3,18.5,43.90
Ogmophis miocompactus,16.3,18.5,43.90
Pterygoboa miocenica,16.3,18.5,43.90
Salvadora paleolineata,16.3,18.5,43.90
Hibernophis breithaupti,31.8,33.9,43.98
Ameiseophis robinsoni,16.3,18.5,43.99
Bavarioboa bachensis,23.03,27.82,43.99
Charina prebottae,16.3,18.5,43.99
Dakotaophis greeni,16.3,18.5,43.99
Pseudocemophora antiqua,16.3,18.5,43.99
Salvadora paleolineata,16.3,18.5,43.99
Ameiseophis robinsoni,16.3,18.5,44.01
Ameiseophis robinsoni,16.3,18.5,44.01
Ameiseophis robinsoni,16.3,18.5,44.01
Ameiseophis robinsoni,16.3,18.5,44.01
Calamagras weigeli,16.3,18.5,44.01
Charina prebottae,16.3,18.5,44.01
Charina prebottae,16.3,18.5,44.01
Ogmophis miocompactus,16.3,18.5,44.01
Ogmophis miocompactus,16.3,18.5,44.01
Paracoluber storeri,16.3,18.5,44.01
Pseudocemophora antiqua,16.3,18.5,44.01
Pseudocemophora antiqua,16.3,18.5,44.01
Pseudocemophora antiqua,16.3,18.5,44.01
Salvadora paleolineata,16.3,18.5,44.01
Coluber pouchetii,15.98,16.9,44.03
Micrurus gallicus,15.98,16.9,44.03
Natrix longivertebrata,15.98,16.9,44.03
Natrix merkurensis,15.98,16.9,44.03
Natrix sansaniensis,15.98,16.9,44.03
Neonatrix europaea,15.98,16.9,44.03
Palaeonatrix lehmani,15.98,16.9,44.03
Texasophis meini,15.98,16.9,44.03
Geringophis vetus,31.8,33.9,44.04
Helagras orellanensis,31.8,33.9,44.04
Paleoheterodon arcuatus,5.333,7.246,44.04
Charina prebottae,12.5,16.3,44.09
Lampropeltis similis,12.5,16.3,44.09
Pantherophis kansensis,12.5,16.3,44.09
Palaeophis nessovi,37.71,41.2,44.12
Palaeophis nessovi,33.9,41.2,44.21
Calamagras gallicus,47.8,56,44.28
Coronella austriaca,0.774,2.58,44.31
Natrix natrix,0.774,2.58,44.31
Coronella austriaca,0.0117,0.129,44.35
Coprophis dakotaensis,31.8,33.9,44.40
Bavarioboa crocheti,23.03,27.82,44.41
Bransateryx vireti,23.03,27.82,44.41
Ogmophis oregonensis,18.5,29.5,44.41
Platyspondylia lepta,23.03,27.82,44.41
Calamagras gallicus,47.8,56,44.53
Dunnophis matronensis,47.8,56,44.53
Calamagras gallicus,47.8,56,44.56
Dunnophis matronensis,47.8,56,44.56
Russellophis tenuis,47.8,56,44.56
Hibernophis breithaupti,31.8,33.9,44.58
Hibernophis breithaupti,31.8,33.9,44.58
Calamagras gallicus,47.8,56,44.61
Dunnophis matronensis,47.8,56,44.61
Calamagras gallicus,47.8,56,44.65
Dunnophis matronensis,47.8,56,44.65
Coronella austriaca,0.129,0.774,44.75
Boavus occidentalis,46.2,50.5,44.87
Dunnophis matronensis,47.8,56,44.91
Calamagras angulatus,31.8,33.9,44.99
Boavus brevis,46.2,50.5,45.05
Boavus occidentalis,46.2,50.5,45.05
Boavus occidentalis,46.2,50.5,45.05
Boavus occidentalis,46.2,50.5,45.05
Boavus occidentalis,46.2,50.5,45.05
Boavus occidentalis,46.2,50.5,45.05
Lithophis sargenti,46.2,50.5,45.05
Borealilysia gunnelli,46.2,50.5,45.08
Calamagras gallicus,47.8,56,45.10
Dunnophis matronensis,47.8,56,45.10
Palaeophis toliapicus,47.8,56,45.10
Palaeophis typhaeus,47.8,56,45.10
Russellophis tenuis,47.8,56,45.10
Boavus occidentalis,46.2,50.5,45.11
Zamenis scalaris,0.0117,0.129,45.29
Calamagras primus,46.2,50.5,45.32
Boavus idelmani,46.2,50.5,45.36
Nerodia sipedon,0.21,1.4,45.47
Pantherophis vulpinus,0.21,1.4,45.47
Thamnophis sirtalis,0.21,1.4,45.47
Naja romani,5.333,7.246,45.48
Vipera aspis,2.58,3.1,45.49
Coronella austriaca,0.129,0.774,45.61
Hierophis viridiflavus,3.2,4.2,45.63
Hierophis viridiflavus,2.58,3.2,45.63
Coronella miocaenica,11.63,12.8,45.76
Elaphe quatuorlineata,2.58,5.333,45.76
Hierophis viridiflavus,2.58,3.2,45.76
Dawsonophis wyomingensis,39.7,46.2,45.78
Ogmophis voorhiesi,39.7,46.2,45.78
Coluber dolnicensis,11.1,12.8,45.82
Micrurus gallicus,11.1,12.8,45.82
Micrurus gallicus,11.1,12.8,45.82
Naja romani,11.1,12.8,45.82
Naja romani,11.1,12.8,45.82
Natrix longivertebrata,11.1,12.8,45.82
Natrix longivertebrata,11.1,12.8,45.82
Natrix sansaniensis,11.1,12.8,45.82
Neonatrix crassa,11.1,12.8,45.82
Neonatrix europaea,11.1,12.8,45.82
Paleoheterodon arcuatus,11.1,12.8,45.82
Paleoheterodon arcuatus,11.1,12.8,45.82
Paleoheterodon arcuatus,11.1,12.8,45.82
Texasophis meini,11.1,12.8,45.82
Texasophis meini,11.1,12.8,45.82
Texasophis meini,11.1,12.8,45.82
Vipera meotica,4.9,7.246,45.96
Micrurus gallicus,11.63,20,45.97
Naja romani,11.63,20,45.97
Natrix sansaniensis,11.63,20,45.97
Neonatrix europaea,11.63,20,45.97
Rageryx schmidi,41.2,56,45.99
Boavus occidentalis,46.2,50.5,46.05
Boavus occidentalis,46.2,50.5,46.05
Calamagras primus,46.2,50.5,46.05
Borealilysia carinata,46.2,50.5,46.14
Calamagras primus,46.2,50.5,46.14
Dunnophis microechinis,46.2,50.5,46.14
Eoconstrictor fischeri,33.9,37.71,46.14
Eoconstrictor fischeri,33.9,37.71,46.14
Palaeopython helveticus,33.9,37.71,46.14
Palaeopython helveticus,33.9,37.71,46.14
Palaeopython helveticus,33.9,37.71,46.14
Paraepicrates brevispondylus,46.2,50.5,46.14
Coluber caspioides,15.98,16.9,46.38
Dryinoides oxyrhachis,12.5,16.3,46.38
Naja romani,5.333,8.7,46.49
Dunnophis microechinis,46.2,50.5,46.50
Boavus occidentalis,31.8,33.9,46.62
Calamagras angulatus,31.8,33.9,46.62
Coluber hungaricus,5.333,8.7,46.80
Coluber hungaricus,5.333,8.7,46.80
Coluber hungaricus,5.333,8.7,46.80
Coronella miocaenica,5.333,8.7,46.80
Coronella miocaenica,5.333,8.7,46.80
Coronella miocaenica,5.333,8.7,46.80
Natrix longivertebrata,5.333,8.7,46.80
Natrix longivertebrata,5.333,8.7,46.80
Macrovipera gedulyi,5.333,8.7,46.80
Macrovipera gedulyi,5.333,8.7,46.80
Macrovipera gedulyi,5.333,8.7,46.80
Zamenis praelonguissimus,5.333,8.7,46.80
Zamenis praelonguissimus,5.333,8.7,46.80
Zamenis szyndlari,5.333,8.7,46.80
Zamenis szyndlari,5.333,8.7,46.80
Coluber caspius,4.9,7.246,46.85
Coluber hungaricus,4.9,7.246,46.85
Elaphe kormosi,4.9,7.246,46.85
Natrix longivertebrata,7.246,7.75,46.85
Natrix longivertebrata,4.9,7.246,46.85
Macrovipera gedulyi,4.9,7.246,46.85
Vipera meotica,7.246,7.75,46.85
Zamenis kohfidischi,7.246,7.75,46.85
Zamenis kohfidischi,22.4,23.03,46.85
Zamenis praelonguissimus,4.9,7.246,46.85
Coluber planicarinatus,7.75,8.7,46.88
Coluber planicarinatus,7.75,8.7,46.88
Naja romani,7.75,8.7,46.88
Natrix longivertebrata,7.75,8.7,46.88
Macrovipera gedulyi,7.75,8.7,46.88
Zamenis kohfidischi,7.75,8.7,46.88
Eoconstrictor fischeri,41.2,47.8,46.89
Messelophis variatus,41.2,47.8,46.89
Messelopython freyi,41.2,47.8,46.89
Rieppelophis ermannorum,41.2,47.8,46.89
Palaeophis longus,47.8,56,46.95
Coronella miocaenica,7.246,11.63,46.98
Hierophis viridiflavus,2.58,3.2,47.00
Palaeophis toliapicus,47.8,56,47.05
Ogmophis arenarum,12.5,16.3,47.14
Charina bottae,1.4,4.7,47.16
Lampropeltis getula,1.4,4.7,47.16
Pantherophis pliocenica,1.4,4.7,47.16
Pantherophis vulpinus,1.4,4.7,47.16
Vipera sarmatica,8.7,9.7,47.30
Elaphe kormosi,7.246,7.75,47.41
Zamenis praelonguissimus,7.246,7.75,47.41
Calamagras weigeli,33.9,37,47.44
Ogmophis compactus,33.9,37,47.44
Natrix sansaniensis,11.1,13.82,47.47
Natrix sansaniensis,11.1,13.82,47.47
Natrix sansaniensis,11.1,13.82,47.47
Natrix sansaniensis,11.1,13.82,47.47
Natrix sansaniensis,11.1,13.82,47.47
Texasophis meini,11.1,13.82,47.47
Palaeophis typhaeus,41.2,47.8,47.58
Albaneryx volynicus,9.7,11.1,47.60
Coluber pouchetii,9.7,11.1,47.60
Coluber pouchetii,9.7,11.1,47.60
Palaeophis typhaeus,41.2,47.8,47.61
Palaeophis typhaeus,41.2,47.8,47.61
Palaeophis typhaeus,41.2,47.8,47.61
Woutersophis novus,41.2,47.8,47.69
Woutersophis novus,41.2,47.8,47.70
Woutersophis novus,41.2,47.8,47.71
Woutersophis novus,41.2,47.8,47.71
Woutersophis novus,41.2,47.8,47.73
Woutersophis novus,41.2,47.8,47.74
Woutersophis novus,41.2,47.8,47.80
Woutersophis novus,41.2,47.8,47.80
Bransateryx vireti,27.82,33.9,47.86
Bransateryx vireti,27.82,33.9,47.86
Eoanilius oligocenicus,27.82,33.9,47.86
Eoanilius oligocenicus,27.82,33.9,47.86
Texasophis bohemiacus,27.82,33.9,47.86
Naja romani,9.7,11.1,48.02
Coluber caspius,2.58,3.2,48.03
Elaphe quatuorlineata,2.58,3.2,48.03
Hierophis viridiflavus,2.58,3.2,48.03
Natrix natrix,2.58,3.2,48.03
Boavus occidentalis,50.5,54.9,48.09
Boavus occidentalis,50.5,54.9,48.09
Hierophis viridiflavus,0.000,2.58,48.10
Bransateryx vireti,23.03,27.82,48.15
Bavarioboa herrlingensis,23.03,27.82,48.22
Bavarioboa minuta,23.03,27.82,48.22
Bransateryx vireti,23.03,27.82,48.22
Bransateryx vireti,23.03,27.82,48.22
Eoanilius oligocenicus,23.03,27.82,48.22
Eoanilius oligocenicus,23.03,27.82,48.22
Platyspondylia germanica,23.03,27.82,48.22
Rottophis atavus,23.03,27.82,48.22
Hierophis viridiflavus,0.000,2.58,48.32
Eoconstrictor spinifer,41.2,47.8,48.34
Eoconstrictor spinifer,41.2,47.8,48.34
